"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022407","regulation of cell-cell adhesion","75/880","403/18670",4.99718543608593e-25,2.16196413548481e-22,1.83915552030493e-22,"CXCL13/PLA2G2D/TNFSF11/BTLA/MYB/TIGIT/IL23R/CLECL1/CTLA4/SIRPG/LAX1/CD28/TNF/CCL19/CARD11/ICOS/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/TNR/HHLA2/ZAP70/IL7R/ITGA4/PTPRC/CD27/IFNG/VAV1/PDCD1/TNFSF9/WNT1/GRAP2/RUNX3/SKAP1/RASGRP1/LAG3/WNT3A/RIPOR2/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/ALOX15/TBX21/EBI3/IL2/ADTRP/NOD2/JAK3/IFNL1/CD83/DOCK8/CD86/XCL1/CCR2/CCL25/HLA-DPB1/FCGR2B/LGALS9C/TNFAIP8L2/ITGB2/SIRPB1",75
"GO:0046651","lymphocyte proliferation","59/880","272/18670",2.13288087161281e-23,8.45865005667114e-21,7.19566651949375e-21,"MS4A1/CD19/CR2/CD79A/PLA2G2D/TNFRSF13B/FCRL3/GAPT/MZB1/IL23R/CLECL1/CTLA4/CD28/CCL19/CD180/BTK/CARD11/IKZF3/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/LILRB1/TNFSF8/HHLA2/ZAP70/IL7R/PTPRC/DOCK2/FLT3/TNFSF9/WNT3A/RASAL3/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/INPP5D/EBI3/IL2/JAK3/P2RX7/LST1/BTN3A1/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/FCGR2B/LGALS9C/PIK3CG/TAC1",59
"GO:0032943","mononuclear cell proliferation","59/880","274/18670",3.1709410305861e-23,1.16080833573533e-20,9.87484955759851e-21,"MS4A1/CD19/CR2/CD79A/PLA2G2D/TNFRSF13B/FCRL3/GAPT/MZB1/IL23R/CLECL1/CTLA4/CD28/CCL19/CD180/BTK/CARD11/IKZF3/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/LILRB1/TNFSF8/HHLA2/ZAP70/IL7R/PTPRC/DOCK2/FLT3/TNFSF9/WNT3A/RASAL3/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/INPP5D/EBI3/IL2/JAK3/P2RX7/LST1/BTN3A1/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/FCGR2B/LGALS9C/PIK3CG/TAC1",59
"GO:0070661","leukocyte proliferation","61/880","298/18670",9.26653968629409e-23,3.14996159764811e-20,2.67963245364565e-20,"PTH/MS4A1/CD19/CR2/CD79A/PLA2G2D/TNFRSF13B/FCRL3/TNFSF11/GAPT/MZB1/IL23R/CLECL1/CTLA4/CD28/CCL19/CD180/BTK/CARD11/IKZF3/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/LILRB1/TNFSF8/HHLA2/ZAP70/IL7R/PTPRC/DOCK2/FLT3/TNFSF9/WNT3A/RASAL3/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/INPP5D/EBI3/IL2/JAK3/P2RX7/LST1/BTN3A1/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/FCGR2B/LGALS9C/PIK3CG/TAC1",61
"GO:0002696","positive regulation of leukocyte activation","68/880","380/18670",8.82285179897206e-22,2.79919678075387e-19,2.38124126448046e-19,"STAP1/IGLL5/FCRL3/TNFSF11/BTLA/MYB/IL23R/CLECL1/CTLA4/SIRPG/CD28/CCL19/BTK/MIR142/CARD11/ICOS/LCK/TLR6/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/CD2/HHLA2/ZAP70/IL7R/PTPRC/CD27/IFNG/VAV1/IGLL1/PDCD1/TNFSF9/GRAP2/RUNX3/RASGRP1/WNT3A/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/IL12B/NCKAP1L/FOXP3/INPP5D/TBX21/EBI3/IL2/TOX/NOD2/JAK3/CD83/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/TAFA3/ITGB2/SIRPB1/TAC1",68
"GO:0050867","positive regulation of cell activation","69/880","394/18670",1.54007631175037e-21,4.58076447976252e-19,3.89679835196838e-19,"STAP1/IGLL5/FCRL3/TNFSF11/BTLA/MYB/IL23R/CLECL1/CTLA4/SIRPG/CD28/CCL19/BTK/MIR142/CARD11/ICOS/LCK/TLR6/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/CD2/HHLA2/ZAP70/IL7R/PTPRC/CD27/IFNG/VAV1/IGLL1/PDCD1/TNFSF9/GRAP2/RUNX3/RASGRP1/WNT3A/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/IL12B/NCKAP1L/FOXP3/INPP5D/TBX21/EBI3/IL2/TOX/NOD2/JAK3/CD83/DOCK8/CD86/XCL1/CCR2/PLEK/HLA-DPB1/TAFA3/ITGB2/SIRPB1/TAC1",69
"GO:0045619","regulation of lymphocyte differentiation","44/880","169/18670",4.61881717535636e-21,1.29299711397182e-18,1.09993627593935e-18,"FCRL3/IRF4/MYB/IL23R/CTLA4/CD28/CCL19/BTK/CARD11/IKZF3/TESPA1/IL12RB1/SASH3/TNFRSF18/CAMK4/CD2/ZAP70/IL7R/PTPRC/CD27/IFNG/TNFSF9/RUNX3/RASGRP1/LAG3/ZNF683/IL12B/FOXN1/NCKAP1L/FOXP3/INPP5D/PGLYRP2/TBX21/IL2/HLA-DOA/TOX/CR1/JAK3/IFNL1/CD83/CD86/CCR2/PGLYRP4/FANCA",44
"GO:0051251","positive regulation of lymphocyte activation","62/880","334/18670",8.5317478454739e-21,2.25569933314502e-18,1.91889486629781e-18,"IGLL5/FCRL3/TNFSF11/BTLA/MYB/IL23R/CLECL1/CTLA4/SIRPG/CD28/CCL19/BTK/CARD11/ICOS/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/HHLA2/ZAP70/IL7R/PTPRC/CD27/IFNG/VAV1/IGLL1/PDCD1/TNFSF9/GRAP2/RUNX3/RASGRP1/WNT3A/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/IL12B/NCKAP1L/FOXP3/INPP5D/TBX21/EBI3/IL2/TOX/NOD2/JAK3/CD83/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/SIRPB1/TAC1",62
"GO:0046631","alpha-beta T cell activation","39/880","138/18670",3.38406067869466e-20,8.47618145784626e-18,7.21058026053168e-18,"PLA2G2D/IRF4/MYB/IL23R/GPR18/CD28/SLAMF6/CCL19/LY9/EOMES/IL12RB1/SASH3/CD3E/FUT7/LILRB1/TNFSF8/ITK/ZAP70/PTPRC/DOCK2/IFNG/RUNX3/ZNF683/RASAL3/BATF/BCL11B/IL12B/NCKAP1L/FOXP3/TBX21/EBI3/IL2/JAK3/TCF7/CD83/CD86/XCL1/CCR2/LGALS9C",39
"GO:0050900","leukocyte migration","76/880","499/18670",7.35261523930887e-20,1.74955479619355e-17,1.48832411633589e-17,"FCAMR/CXCL13/STAP1/CXCR5/TNFSF11/VPREB3/CCL22/SIRPG/GPR18/VPREB1/TNF/CCL19/GPR15/AIRE/JCHAIN/CD48/CNR2/SELL/LCK/CCL17/ITGAL/CORO1A/TNFRSF18/RAC2/MCOLN2/CXCR3/CXCR4/FUT7/CD84/CD2/ZAP70/ITGA4/CCL11/XCL2/CD200R1/CD244/VAV1/IGLL1/CCL24/RIPOR2/CCR7/KLRC4-KLRK1/CCR5/JAML/GYPB/NCKAP1L/ITGAX/IL17A/INPP5D/CCL20/ITGB7/MADCAM1/TBX21/CCR6/ADTRP/GPSM3/SELPLG/MYO1G/DOCK8/PTPRO/DBH/XCL1/CCR2/CCL25/CXCL11/DOK2/PIK3CG/ITGB2/PIK3CD/MAG/CYP19A1/CCL7/CHGA/CEACAM5/SLC7A11/CALCA",76
"GO:0045785","positive regulation of cell adhesion","67/880","403/18670",1.10782254632806e-19,2.51053690379773e-17,2.13568196149259e-17,"CXCL13/TNFSF11/BTLA/MYB/IL23R/CLECL1/CTLA4/SIRPG/CD28/TNF/CCL19/CARD11/ICOS/LCK/TESPA1/CORO1A/IL12RB1/CD6/SASH3/TNFRSF18/CCDC88B/CD70/CD40LG/CD3E/CD5/LILRB1/HHLA2/ZAP70/IL7R/ITGA4/PTPRC/CD27/IFNG/VAV1/PDCD1/TNFSF9/GRAP2/RUNX3/SKAP1/RASGRP1/WNT3A/CCR7/RASAL3/KLRC4-KLRK1/TMIGD2/HRG/IL12B/COL26A1/NCKAP1L/FOXP3/ALOX15/EBI3/IL2/NOD2/JAK3/APBB1IP/CD83/DOCK8/CD86/XCL1/CASS4/CCR2/CCL25/HLA-DPB1/FRMD5/ITGB2/SIRPB1",67
"GO:0002449","lymphocyte mediated immunity","61/880","352/18670",6.29032842840684e-19,1.3440183738649e-16,1.14333941581809e-16,"FCER2/CD19/CR2/IGLL5/AICDA/GAPT/NCR3/IL23R/CD1A/CD28/SLAMF7/POU2F2/TNF/SLAMF6/C17orf99/AIRE/BTK/CD1E/LTA/CD1C/CORO1A/IL12RB1/SASH3/CD70/CD40LG/SH2D1A/LILRB1/IL7R/PTPRC/CD27/VAV1/IGLL1/WAS/KLRF2/RASGRP1/LAG3/C8A/KLRC4-KLRK1/GZMM/BATF/CD96/IL12B/SLA2/FOXP3/CRTAM/INPP5D/MBL2/NCR1/TBX21/CCR6/IL2/HLA-DQB1/CR1/MYO1G/P2RX7/CD1B/CD8A/EXO1/XCL1/CCR2/FCGR2B",61
"GO:1902105","regulation of leukocyte differentiation","53/880","272/18670",6.49557104410435e-19,1.3440183738649e-16,1.14333941581809e-16,"FCRL3/TNFSF11/IRF4/MYB/IL23R/CTLA4/CD28/TNF/CCL19/BTK/CARD11/EVI2B/IKZF3/TESPA1/IL12RB1/SASH3/TNFRSF18/CAMK4/LILRB1/CD2/ZAP70/IL7R/PTPRC/CD27/IFNG/POU4F1/TNFSF9/GPR55/RUNX3/RASGRP1/LAG3/ZNF683/IL12B/FOXN1/NCKAP1L/FOXP3/IL17A/INPP5D/PGLYRP2/TBX21/IL2/HLA-DOA/TOX/CR1/JAK3/IFNL1/CD83/CD86/CCR2/PGLYRP4/FCGR2B/FANCA/CARTPT",53
"GO:0050670","regulation of lymphocyte proliferation","46/880","208/18670",7.39397277455402e-19,1.46616318475427e-16,1.24724646012872e-16,"PLA2G2D/TNFRSF13B/FCRL3/MZB1/IL23R/CLECL1/CTLA4/CD28/CCL19/BTK/CARD11/IKZF3/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/LILRB1/TNFSF8/HHLA2/ZAP70/PTPRC/TNFSF9/WNT3A/RASAL3/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/INPP5D/EBI3/IL2/JAK3/LST1/CD86/XCL1/CCR2/HLA-DPB1/FCGR2B/LGALS9C/TAC1",46
"GO:0032944","regulation of mononuclear cell proliferation","46/880","209/18670",9.06321281915962e-19,1.72527319225522e-16,1.46766806326265e-16,"PLA2G2D/TNFRSF13B/FCRL3/MZB1/IL23R/CLECL1/CTLA4/CD28/CCL19/BTK/CARD11/IKZF3/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/LILRB1/TNFSF8/HHLA2/ZAP70/PTPRC/TNFSF9/WNT3A/RASAL3/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/INPP5D/EBI3/IL2/JAK3/LST1/CD86/XCL1/CCR2/HLA-DPB1/FCGR2B/LGALS9C/TAC1",46
"GO:0070663","regulation of leukocyte proliferation","47/880","222/18670",2.00345887269747e-18,3.66710029814125e-16,3.11955579934999e-16,"PTH/PLA2G2D/TNFRSF13B/FCRL3/MZB1/IL23R/CLECL1/CTLA4/CD28/CCL19/BTK/CARD11/IKZF3/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/LILRB1/TNFSF8/HHLA2/ZAP70/PTPRC/TNFSF9/WNT3A/RASAL3/TMIGD2/PTPN22/IL12B/NCKAP1L/FOXP3/INPP5D/EBI3/IL2/JAK3/LST1/CD86/XCL1/CCR2/HLA-DPB1/FCGR2B/LGALS9C/TAC1",47
"GO:0045580","regulation of T cell differentiation","37/880","139/18670",2.88085436412519e-18,5.0777725625451e-16,4.31959683603333e-16,"IRF4/MYB/IL23R/CTLA4/CD28/CCL19/CARD11/TESPA1/IL12RB1/SASH3/TNFRSF18/CAMK4/CD2/ZAP70/IL7R/PTPRC/CD27/IFNG/TNFSF9/RUNX3/RASGRP1/LAG3/ZNF683/IL12B/FOXN1/NCKAP1L/FOXP3/TBX21/IL2/HLA-DOA/CR1/JAK3/IFNL1/CD83/CD86/CCR2/FANCA",37
"GO:0032609","interferon-gamma production","33/880","113/18670",9.0317067010588e-18,1.53506757822639e-15,1.30586255534858e-15,"IL23R/TNF/SLAMF6/HMHB1/EOMES/LTA/IL12RB1/SASH3/IRF8/CD3E/LILRB1/CD2/ITK/TLR7/CD244/TXK/RASGRP1/CCR7/KLRC4-KLRK1/PTPN22/CD96/IL12B/FOXP3/EBI3/IL2/NR1H4/IFNL1/BTN3A1/XCL1/CCR2/HLA-DPB1/PGLYRP4/LGALS9C",33
"GO:0045058","T cell selection","22/880","47/18670",2.43611960851089e-17,3.99775628169081e-15,3.40084065856004e-15,"IRF4/IL23R/CD28/SLAMF6/LY9/AIRE/CARD11/IL12RB1/CD3D/CD3G/CD3E/ZAP70/PTPRC/DOCK2/THEMIS/CCR7/BATF/BCL11B/IL12B/FOXN1/FOXP3/TBX21",22
"GO:0002285","lymphocyte activation involved in immune response","40/880","181/18670",1.48768552504446e-16,2.35996513789552e-14,2.00759246642842e-14,"CD19/AICDA/GAPT/IRF4/MYB/IL23R/CD28/SLAMF6/CCL19/CD180/LY9/C17orf99/EOMES/CD1C/ITGAL/CORO1A/IL12RB1/CD40LG/LILRB1/PTPRC/IFNG/CD244/KLRF2/ZNF683/LCP1/BATF/IL12B/FOXP3/PGLYRP2/TBX21/CCR6/IL2/JAK3/APBB1IP/IFNL1/CD86/EXO1/DOCK10/PGLYRP4/FCGR2B",40
"GO:0032649","regulation of interferon-gamma production","30/880","101/18670",1.66901592997192e-16,2.56220864862463e-14,2.17963846066961e-14,"IL23R/TNF/SLAMF6/HMHB1/LTA/IL12RB1/SASH3/IRF8/CD3E/LILRB1/CD2/TLR7/CD244/TXK/RASGRP1/CCR7/KLRC4-KLRK1/PTPN22/CD96/IL12B/FOXP3/EBI3/IL2/NR1H4/IFNL1/XCL1/CCR2/HLA-DPB1/PGLYRP4/LGALS9C",30
"GO:0042102","positive regulation of T cell proliferation","29/880","95/18670",2.35409789854003e-16,3.500984968485e-14,2.97824359137663e-14,"IL23R/CLECL1/CD28/CCL19/CARD11/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/CD70/CD40LG/CD3E/HHLA2/ZAP70/PTPRC/TNFSF9/RASAL3/TMIGD2/IL12B/NCKAP1L/FOXP3/EBI3/IL2/JAK3/CD86/XCL1/CCR2/HLA-DPB1",29
"GO:0002706","regulation of lymphocyte mediated immunity","36/880","149/18670",2.44150946156573e-16,3.52095258411858e-14,2.9952297892127e-14,"FCER2/NCR3/IL23R/CD1A/CD28/TNF/SLAMF6/C17orf99/BTK/CD1E/LTA/CD1C/IL12RB1/SASH3/SH2D1A/LILRB1/IL7R/PTPRC/VAV1/WAS/RASGRP1/LAG3/KLRC4-KLRK1/CD96/IL12B/FOXP3/CRTAM/NCR1/TBX21/IL2/CR1/P2RX7/CD1B/XCL1/CCR2/FCGR2B",36
"GO:0042098","T cell proliferation","40/880","184/18670",2.72322733222086e-16,3.81171731589384e-14,3.24257966554842e-14,"PLA2G2D/IL23R/CLECL1/CTLA4/CD28/CCL19/CARD11/CORO1A/IL12RB1/CD6/SASH3/CCDC88B/RAC2/CD70/CD40LG/CD3E/LILRB1/TNFSF8/HHLA2/ZAP70/PTPRC/DOCK2/TNFSF9/RASAL3/TMIGD2/IL12B/NCKAP1L/FOXP3/EBI3/IL2/JAK3/P2RX7/BTN3A1/DOCK8/CD86/XCL1/CCR2/HLA-DPB1/LGALS9C/PIK3CG",40
"GO:0072676","lymphocyte migration","31/880","111/18670",3.63460667744848e-16,4.94202662227923e-14,4.20411948314792e-14,"CXCL13/CCL22/CCL19/GPR15/AIRE/CCL17/CXCR3/ZAP70/ITGA4/CCL11/XCL2/CD200R1/CCL24/RIPOR2/CCR7/KLRC4-KLRK1/CCL20/ITGB7/MADCAM1/TBX21/CCR6/ADTRP/MYO1G/DOCK8/XCL1/CCR2/CCL25/CXCL11/PIK3CG/PIK3CD/CCL7",31
"GO:0050851","antigen receptor-mediated signaling pathway","53/880","316/18670",5.67409393786355e-16,7.50083695841462e-14,6.38086704240445e-14,"PAX5/MS4A1/CD19/CD79A/STAP1/IGLL5/BLK/FCRL3/CTLA4/CD79B/LAX1/CD28/KLHL6/BTK/PRKCB/CARD11/KCNN4/TRAT1/LCK/TESPA1/CD3D/CD3G/UBASH3A/BTN1A1/CD3E/ITK/HHLA2/ZAP70/CD247/PTPRC/FYB1/BTNL2/TXK/IGLL1/THEMIS/GRAP2/WAS/LAT2/SKAP1/CCR7/HLA-DQA1/PTPN22/SLA2/NCKAP1L/FOXP3/INPP5D/HLA-DQB1/BTN3A1/PSMA8/FYB2/HLA-DPB1/FCGR2B/PIK3CD",53
